"Name","Symbol","Decimals","Mainnet Address","Asset Type","Derivative Type","Uniswap Pair","Chainlink Description","Chainlink Proxy","Chainlink Aggregator (for Testnet)"
"Synth iLTC","iLTC",18,"0x79da1431150c9b82d2e5dfc1c68b33216846851e","Derivative","Synthetix",,,,
"Synth iOIL","iOIL",18,"0xa5a5df41883cdc00c4ccc6e8097130535399d9a3","Derivative","Synthetix",,,,
"Synth iTRX","iTRX",18,"0xc5807183a9661a533cb08cbc297594a0b864dc12","Derivative","Synthetix",,,,
"Synth iXMR","iXMR",18,"0x4adf728e2df4945082cdd6053869f51278fae196","Derivative","Synthetix",,,,
"Synth iXRP","iXRP",18,"0x27269b3e45a4d3e79a3d6bfee0c8fb13d0d711a6","Derivative","Synthetix",,,,
"Synth iXTZ","iXTZ",18,"0x8deef89058090ac5655a99eeb451a4f9183d1678","Derivative","Synthetix",,,,
"Kyber Network Crystal","KNC",18,"0xdd974d5c2e2928dea5f71b9825b8b646686bd200","Primitive",,,"KNC / ETH","0x656c0544ef4c98a6a98491833a89204abb045d6b","0x075fe11b3dd9c605f7fd09ff9310e3e37baabc9e"
"ChainLink Token","LINK",18,"0x514910771af9ca656af840dff83e8264ecf986ca","Primitive",,,"LINK / ETH","0xdc530d9457755926550b59e8eccdae7624181557","0x7e6c635d6a53b5033d1b0cee84eccea9096859e4"
"Loopring","LRC",18,"0xbbbbca6a901c926f240b89eacb641d8aec7aeafd","Primitive",,,"LRC / ETH","0x160AC928A16C93eD4895C2De6f81ECcE9a7eB7b4","0x174b0b72ca036b0b64f190ed83630751195d3362"
"Decentraland MANA","MANA",18,"0x0f5d2fb29fb7d3cfee444a200298f468908cc942","Primitive",,,"MANA / ETH","0x82a44d92d6c329826dc557c5e1be6ebec5d5feb9","0x3162c2de0c254b97d869a070929b518b5b9b56b3"
"Maker","MKR",18,"0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2","Primitive",,,"MKR / ETH","0x24551a8fb2a7211a25a17b1481f043a8a8adc7f2","0x204a6fe11de66aa463879f47f3533dd87d47020d"
"Melon Token","MLN",18,"0xec67005c4e498ec7f55e092bd1d35cbc47c91892","Primitive",,,"MLN / ETH","0xdaea8386611a157b08829ed4997a8a62b557014c","0x326a719e35ee2a31d9705ba25b05d25a3a1459d9"
"Numeraire","NMR",18,"0x1776e1f26f98b1a5df9cd347953a26dd3cb46671","Primitive",,,"NMR / ETH","0x9cb2a01a7e64992d32a34db7ceea4c919c391f6a","0x3e78373c09fb75cdb03acb47e3c3608eea91110b"
"Orchid","OXT",18,"0x4575f41308EC1483f3d399aa9a2826d74Da13Deb","Primitive",,,"OXT / USD","0xd75AAaE4AF0c398ca13e2667Be57AF2ccA8B5de6","0x9bb674bdd5190e27af0d72feb38447c101a3540b"
"Republic Token","REN",18,"0x408e41876cccdc0f92210600ef50372656052a38","Primitive",,,"REN / ETH","0x3147d7203354dc06d9fd350c7a2437bca92387a4","0x1a53bf1bfffb7a2b33e1931d33423c7c94f675ee"
"Reputation (Augur)","REPv2",18,"0x221657776846890989a759ba2973e427dff5c9bb","Primitive",,,"REP / ETH","0xd4ce430c3b67b3e2f7026d86e7128588629e2455","0x8e1bb728b37832754a260d99b5467fe6d164c068"
"iEx.ec Network Token","RLC",9,"0x607f4c5bb672230e8672085532f7e901544a7375","Primitive",,,"RLC / ETH","0x4cba1e1fdc738d0fe8db3ee07728e2bc4da676c6","0x34e9dd5975736a0c6df221d0e76dcf0d412014fa"
"Synth sADA","sADA",18,"0xe36e2d3c7c34281fa3bc737950a68571736880a1","Derivative","Synthetix",,,,
"Synth sAUD","sAUD",18,"0xf48e200eaf9906362bb1442fca31e0835773b8b4","Derivative","Synthetix",,,,
"Synth sBCH","sBCH",18,"0x36a2422a863d5b950882190ff5433e513413343a","Derivative","Synthetix",,,,
"Synth sBNB","sBNB",18,"0x617aecb6137b5108d1e7d4918e3725c8cebdb848","Derivative","Synthetix",,,,
"Synth sBTC","sBTC",18,"0xfe18be6b3bd88a2d2a7f928d00292e7a9963cfc6","Derivative","Synthetix",,,,
"Synth sCEX","sCEX",18,"0xeabacd844a196d7faf3ce596edebf9900341b420","Derivative","Synthetix",,,,
"Synth sCHF","sCHF",18,"0x0f83287ff768d1c1e17a42f44d644d7f22e8ee1d","Derivative","Synthetix",,,,
"Synth sDASH","sDASH",18,"0xfe33ae95a9f0da8a845af33516edc240dcd711d6","Derivative","Synthetix",,,,
"Synth sDEFI","sDEFI",18,"0xe1afe1fd76fd88f78cbf599ea1846231b8ba3b6b","Derivative","Synthetix",,,,
"Synth sEOS","sEOS",18,"0x88c8cf3a212c0369698d13fe98fcb76620389841","Derivative","Synthetix",,,,
"Synth sETC","sETC",18,"0x22602469d704bffb0936c7a7cfcd18f7aa269375","Derivative","Synthetix",,,,
"Synth sETH","sETH",18,"0x5e74c9036fb86bd7ecdcb084a0673efc32ea31cb","Derivative","Synthetix",,,,
"Synth sEUR","sEUR",18,"0xd71ecff9342a5ced620049e616c5035f1db98620","Derivative","Synthetix",,,,
"Synth sFTSE","sFTSE",18,"0x23348160d7f5aca21195df2b70f28fce2b0be9fc","Derivative","Synthetix",,,,
"Synth sGBP","sGBP",18,"0x97fe22e7341a0cd8db6f6c021a24dc8f4dad855f","Derivative","Synthetix",,,,
"Synth sJPY","sJPY",18,"0xf6b1c627e95bfc3c1b4c9b825a032ff0fbf3e07d","Derivative","Synthetix",,,,
"Synth sLINK","sLINK",18,"0xbbc455cb4f1b9e4bfc4b73970d360c8f032efee6","Derivative","Synthetix",,,,
"Synth sLTC","sLTC",18,"0xc14103c2141e842e228fbac594579e798616ce7a","Derivative","Synthetix",,,,
"Synth sNIKKEI","sNIKKEI",18,"0x757de3ac6b830a931ef178c6634c5c551773155c","Derivative","Synthetix",,,,
"Synthetix Network Token","SNX",18,"0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f","Primitive",,,"SNX / ETH","0x79291a9d692df95334b1a0b3b4ae6bc606782f8c","0x93d7bbf4cf42bda5bb86eadfad09271040cc10e8"
"Synth sOIL","sOIL",18,"0x6d16cf3ec5f763d4d99cb0b0b110eefd93b11b56","Derivative","Synthetix",,,,
"Synth sTRX","sTRX",18,"0xf2e08356588ec5cd9e437552da87c0076b4970b0","Derivative","Synthetix",,,,
"Synth sUSD","sUSD",18,"0x57ab1ec28d129707052df4df418d58a2d46d5f51","Primitive",,,"SUSD / ETH","0x8e0b7e6062272B5eF4524250bFFF8e5Bd3497757","0x060f728deb96875f992c97414eff2b3ef6c58ec7"
"Synth sXAG","sXAG",18,"0x6a22e5e94388464181578aa7a6b869e00fe27846","Derivative","Synthetix",,,,
"Synth sXAU","sXAU",18,"0x261efcdd24cea98652b9700800a13dfbca4103ff","Derivative","Synthetix",,,,
"Synth sXMR","sXMR",18,"0x5299d6f7472dcc137d7f3c4bcfbbb514babf341a","Derivative","Synthetix",,,,
"Swipe","SXP",18,"0x8ce9137d39326ad0cd6491fb5cc0cba0e089b6a9","Primitive",,,"SXP / USD","0xFb0CfD6c19e25DB4a08D8a204a387cEa48Cc138f","0x4a75bfa5b740263e88655a3e1e78892bfc7b036a"
"Synth sXRP","sXRP",18,"0xa2b0fde6d710e201d0d608e924a484d1a5fed57c","Derivative","Synthetix",,,,
"Synth sXTZ","sXTZ",18,"0x2e59005c5c0f0a4d77cca82653d48b46322ee5cd","Derivative","Synthetix",,,,
"TrueUSD","TUSD",18,"0x0000000000085d4780B73119b644AE5ecd22b376","Primitive",,,"TUSD / ETH","0x3886BA987236181D98F2401c507Fb8BeA7871dF2","0x0c632ec5982e3a8dc116a02eba7a419efec170b1"
"UMA Voting Token v1","UMA",18,"0x04fa0d235c4abf4bcf4787af4cf447de572ef828","Primitive",,,"UMA / ETH","0xf817b69ea583caff291e287cae00ea329d22765c","0xfa0999f1033ab29318578c7750afd07d9d187604"
"Uniswap","UNI",18,"0x1f9840a85d5af5bf1d1762f925bdaddc4201f984","Primitive",,,"UNI / ETH","0xd6aa3d25116d8da79ea0246c4826eb951872e02e","0x5977d45ba0a1ffc3740506d07f5693bbc45df3c7"
"Uniswap V2","UNI-V2",18,"0xdfc14d2af169b0d36c4eff567ada9b2e0cae044f","Derivative","UniswapV2Pool","AAVE-WETH",,,
"Uniswap V2","UNI-V2",18,"0xd3772a963790fede65646cfdae08734a17cd0f47","Derivative","UniswapV2Pool","ADX-WETH",,,
"Uniswap V2","UNI-V2",18,"0x9def9511fec79f83afcbffe4776b1d817dc775ae","Derivative","UniswapV2Pool","ANT-WETH",,,
"Uniswap V2","UNI-V2",18,"0xa70d458a4d9bc0e6571565faee18a48da5c0d593","Derivative","UniswapV2Pool","BAL-WETH",,,
"Uniswap V2","UNI-V2",18,"0xb6909b960dbbe7392d405429eb2b3649752b4838","Derivative","UniswapV2Pool","BAT-WETH",,,
"Uniswap V2","UNI-V2",18,"0x3fd4cf9303c4bc9e13772618828712c8eac7dd2f","Derivative","UniswapV2Pool","BNT-WETH",,,
"Uniswap V2","UNI-V2",18,"0x524847c615639e76fe7d0fe0b16be8c4eac9cf3c","Derivative","UniswapV2Pool","BUSD-USDC",,,
"Uniswap V2","UNI-V2",18,"0xa0abda1f980e03d7eadb78aed8fc1f2dd0fe83dd","Derivative","UniswapV2Pool","BUSD-USDT",,,
"Uniswap V2","UNI-V2",18,"0xb9b752f7f4a4680eeb327ffe728f46666763a796","Derivative","UniswapV2Pool","BZRX-WETH",,,
"Uniswap V2","UNI-V2",18,"0xcffdded873554f362ac02f8fb1f02e5ada10516f","Derivative","UniswapV2Pool","COMP-WETH",,,
"Uniswap V2","UNI-V2",18,"0x90704ac59e7e54632b0cc9d22573aecd7eb094ad","Derivative","UniswapV2Pool","CRO-WETH",,,
"Uniswap V2","UNI-V2",18,"0x3da1313ae46132a397d90d95b1424a9a7e3e0fce","Derivative","UniswapV2Pool","CRV-WETH",,,
"Uniswap V2","UNI-V2",18,"0xae461ca67b15dc8dc81ce7615e0320da1a9ab8d5","Derivative","UniswapV2Pool","DAI-USDC",,,
"Uniswap V2","UNI-V2",18,"0xb20bd5d04be54f870d5c0d3ca85d82b34b836405","Derivative","UniswapV2Pool","DAI-USDT",,,
"Uniswap V2","UNI-V2",18,"0xa478c2975ab1ea89e8196811f51a7b7ade33eb11","Derivative","UniswapV2Pool","DAI-WETH",,,
"Uniswap V2","UNI-V2",18,"0x8175362afbeee32afb22d05adc0bbd08de32f5ae","Derivative","UniswapV2Pool","DMG-WETH",,,
"Uniswap V2","UNI-V2",18,"0xe56c60b5f9f7b5fc70de0eb79c6ee7d00efa2625","Derivative","UniswapV2Pool","ENJ-WETH",,,
"Uniswap V2","UNI-V2",18,"0xf49c43ae0faf37217bdcb00df478cf793edd6687","Derivative","UniswapV2Pool","KNC-WETH",,,
"Uniswap V2","UNI-V2",18,"0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974","Derivative","UniswapV2Pool","LINK-WETH",,,
"Uniswap V2","UNI-V2",18,"0x8878df9e1a7c87dcbf6d3999d997f262c05d8c70","Derivative","UniswapV2Pool","LRC-WETH",,,
"Uniswap V2","UNI-V2",18,"0x11b1f53204d03e5529f09eb3091939e4fd8c9cf3","Derivative","UniswapV2Pool","MANA-WETH",,,
"Uniswap V2","UNI-V2",18,"0xc2adda861f89bbb333c90c492cb837741916a225","Derivative","UniswapV2Pool","MKR-WETH",,,
"Uniswap V2","UNI-V2",18,"0x15ab0333985fd1e289adf4fbbe19261454776642","Derivative","UniswapV2Pool","MLN-WETH",,,
"Uniswap V2","UNI-V2",18,"0xb784ced6994c928170b417bbd052a096c6fb17e2","Derivative","UniswapV2Pool","NMR-WETH",,,
"Uniswap V2","UNI-V2",18,"0x9b533f1ceaa5ceb7e5b8994ef16499e47a66312d","Derivative","UniswapV2Pool","OXT-WETH",,,
"Uniswap V2","UNI-V2",18,"0x8bd1661da98ebdd3bd080f0be4e6d9be8ce9858c","Derivative","UniswapV2Pool","REN-WETH",,,
"Uniswap V2","UNI-V2",18,"0x8979a3ef9d540480342ac0f56e9d4c88807b1cba","Derivative","UniswapV2Pool","REPv2-WETH",,,
"Uniswap V2","UNI-V2",18,"0x6d57a53a45343187905aad6ad8ed532d105697c1","Derivative","UniswapV2Pool","RLC-WETH",,,
"Uniswap V2","UNI-V2",18,"0x43ae24960e5534731fc831386c07755a2dc33d47","Derivative","UniswapV2Pool","SNX-WETH",,,
"Uniswap V2","UNI-V2",18,"0xf80758ab42c3b07da84053fd88804bcb6baa4b5c","Derivative","UniswapV2Pool","sUSD-WETH",,,
"Uniswap V2","UNI-V2",18,"0xac317d14738a454ff20b191ba3504aa97173045b","Derivative","UniswapV2Pool","SXP-WETH",,,
"Uniswap V2","UNI-V2",18,"0xb4d0d9df2738abe81b87b66c80851292492d1404","Derivative","UniswapV2Pool","TUSD-WETH",,,
"Uniswap V2","UNI-V2",18,"0x88d97d199b9ed37c29d846d00d443de980832a22","Derivative","UniswapV2Pool","UMA-WETH",,,
"Uniswap V2","UNI-V2",18,"0xd3d2e2692501a5c9ca623199d38826e513033a17","Derivative","UniswapV2Pool","UNI-WETH",,,
"Uniswap V2","UNI-V2",18,"0x3041cbd36888becc7bbcbc0045e3b1f144466f5f","Derivative","UniswapV2Pool","USDC-USDT",,,
"Uniswap V2","UNI-V2",18,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc","Derivative","UniswapV2Pool","USDC-WETH",,,
"Uniswap V2","UNI-V2",18,"0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852","Derivative","UniswapV2Pool","USDT-WETH",,,
